Adult Mortality,BMI,HIV/AIDS,GDP,Income composition of resources,Schooling,Diphtheria,thinness  1-19 years,Life expectancy
335.0,23.3,1.9,3695.793748,0.531,11.4,64.0,8.3,52.4
348.0,22.7,2.0,479.31224,0.527,11.4,64.0,8.5,51.7
355.0,22.1,2.3,484.616884,0.523,11.4,77.0,8.6,51.1
358.0,21.5,2.6,4598.249988,0.508,10.3,75.0,8.8,56.0
361.0,21.0,2.5,4299.12889,0.495,9.4,71.0,8.9,51.0
365.0,2.4,2.5,3529.53482,0.488,9.0,77.0,9.1,49.6
369.0,19.8,2.5,3347.84485,0.48,8.5,6.0,9.3,49.1
371.0,19.3,2.6,3868.578883,0.468,8.1,69.0,9.5,48.7
375.0,18.8,2.6,2878.837144,0.454,7.7,73.0,9.6,48.2
381.0,18.2,2.5,262.415149,0.439,7.2,34.0,9.8,47.7
382.0,17.7,2.6,1443.991929,0.426,6.8,38.0,1.0,47.4
386.0,17.2,2.5,141.86844,0.415,6.4,4.0,1.2,47.1
388.0,16.8,2.4,779.468356,0.406,5.9,4.0,1.4,46.8
391.0,16.3,2.3,711.181716,0.401,5.5,41.0,1.5,46.5
44.0,15.8,2.1,526.168743,0.391,5.1,38.0,1.7,45.7
48.0,15.4,2.0,555.2969419,0.382,4.6,28.0,1.9,45.3
13.0,47.7,0.2,13566.9541,0.784,13.9,99.0,3.3,76.4
131.0,47.0,0.2,12888.29667,0.782,13.9,99.0,3.3,76.2
133.0,46.4,0.2,12224.86416,0.781,13.9,99.0,3.3,76.1
134.0,45.7,0.2,12565.44197,0.778,13.8,98.0,3.3,75.9
136.0,45.1,0.1,11929.34991,0.782,14.1,99.0,3.3,75.7
138.0,44.4,0.1,12126.87614,0.783,14.1,98.0,3.3,75.6
14.0,43.8,0.1,1312.46692,0.788,14.2,99.0,3.4,75.4
142.0,43.2,0.1,1473.31923,0.786,14.4,99.0,3.4,75.2
144.0,42.6,0.1,14252.29452,0.781,14.5,99.0,3.4,75.0
145.0,42.0,0.1,12724.39377,0.773,14.7,99.0,3.4,74.8
147.0,41.4,0.1,11371.93895,0.0,0.0,99.0,3.5,74.6
149.0,4.8,0.1,1352.8374,0.0,0.0,97.0,3.5,74.4
151.0,4.1,0.1,9739.82556,0.0,0.0,99.0,3.5,74.2
153.0,39.5,0.1,9386.716452,0.0,0.0,98.0,3.6,74.0
154.0,38.9,0.1,9358.154162,0.0,0.0,97.0,3.6,73.8
156.0,38.2,0.1,9875.161736,0.0,0.0,95.0,3.7,73.6
116.0,62.8,0.1,13467.1236,0.826,17.3,94.0,1.0,76.3
118.0,62.2,0.1,12245.25645,0.825,17.3,94.0,1.0,76.2
119.0,61.6,0.1,12976.63642,0.823,17.3,94.0,1.0,76.0
12.0,61.0,0.1,12969.7712,0.822,17.2,91.0,1.0,75.9
12.0,6.4,0.1,12726.9836,0.816,17.1,91.0,1.0,75.7
121.0,59.8,0.1,1276.265,0.802,16.8,94.0,1.0,75.5
126.0,59.2,0.1,8161.36966,0.794,16.5,94.0,1.0,75.6
126.0,58.6,0.1,8953.359275,0.792,16.3,93.0,1.0,75.4
129.0,58.0,0.1,7193.61764,0.788,16.3,91.0,1.1,74.8
127.0,57.5,0.1,5878.76127,0.782,16.1,91.0,1.1,75.2
127.0,56.9,0.1,576.883829,0.78,16.3,98.0,1.1,74.9
13.0,56.3,0.1,4251.574348,0.775,16.3,98.0,1.1,74.7
137.0,55.7,0.1,333.4376,0.77,16.4,96.0,1.2,74.1
138.0,55.1,0.1,2579.193168,0.776,16.3,93.0,1.2,74.1
138.0,54.6,0.1,717.694674,0.771,15.6,83.0,1.2,74.0
137.0,54.0,0.1,7669.273916,0.764,15.0,83.0,1.2,74.1
118.0,54.9,0.1,369.654776,0.741,12.7,94.0,2.1,74.8
12.0,54.1,0.1,3994.712355,0.739,12.7,93.0,2.1,74.6
123.0,53.3,0.1,3843.591213,0.736,12.7,95.0,2.1,74.4
121.0,52.6,0.1,3684.8481,0.732,12.7,95.0,2.0,74.4
128.0,51.9,0.1,3526.978143,0.729,12.7,95.0,2.0,73.9
132.0,51.2,0.1,3218.381655,0.72,12.3,94.0,2.0,73.5
137.0,5.7,0.1,2993.832531,0.725,11.9,93.0,2.0,73.3
14.0,5.1,0.1,41.26997,0.721,12.3,89.0,2.0,73.2
132.0,49.7,0.1,3138.8873,0.707,11.7,88.0,2.0,73.5
141.0,49.2,0.1,2158.299,0.692,11.2,87.0,2.0,72.9
137.0,48.8,0.1,1643.758397,0.679,10.9,9.0,2.0,73.0
132.0,48.4,0.1,1191.96192,0.668,10.9,91.0,2.0,73.0
134.0,48.1,0.1,93.1661567,0.657,10.8,94.0,2.0,72.7
134.0,47.8,0.1,783.261699,0.645,10.8,94.0,2.1,72.6
141.0,47.4,0.1,694.435119,0.644,11.1,94.0,2.1,72.6
142.0,47.1,0.1,622.7427477,0.639,11.2,93.0,2.1,72.0
59.0,66.6,0.1,56554.3876,0.937,20.4,93.0,0.6,82.8
6.0,66.1,0.1,62214.6912,0.936,20.4,92.0,0.6,82.7
61.0,65.5,0.1,67792.3386,0.933,20.3,91.0,0.6,82.5
61.0,65.0,0.1,67677.63477,0.93,20.1,92.0,0.6,82.3
63.0,64.4,0.1,62245.129,0.927,19.8,92.0,0.6,82.0
64.0,63.9,0.1,51874.848,0.927,19.5,92.0,0.7,81.9
66.0,63.4,0.1,42742.99898,0.925,19.1,92.0,0.7,81.7
66.0,62.9,0.1,49664.6854,0.921,19.1,92.0,0.7,81.3
66.0,62.5,0.1,4991.98289,0.918,19.0,92.0,0.7,81.3
66.0,62.0,0.1,36118.28381,0.915,20.3,92.0,0.7,81.2
67.0,61.5,0.1,3416.71483,0.91,20.3,92.0,0.7,81.0
69.0,6.9,0.1,3472.37977,0.908,20.7,92.0,0.7,86.0
71.0,6.3,0.1,23465.38559,0.905,20.6,93.0,0.7,83.0
73.0,59.6,0.1,281.81763,0.902,20.1,92.0,0.7,79.9
75.0,59.0,0.1,19517.84168,0.899,20.5,92.0,0.7,79.9
78.0,58.2,0.1,2169.921,0.897,20.4,9.0,0.7,79.5
65.0,57.6,0.1,43665.947,0.892,15.9,93.0,1.9,81.5
66.0,57.1,0.1,51322.63997,0.892,15.9,98.0,1.8,81.4
68.0,56.6,0.1,554.71532,0.887,15.7,95.0,1.8,81.1
7.0,56.1,0.1,48333.57273,0.884,15.7,92.0,1.8,88.0
73.0,55.7,0.1,51126.74139,0.88,15.7,89.0,1.7,88.0
75.0,55.2,0.1,46657.629,0.872,15.4,86.0,1.7,84.0
77.0,54.7,0.1,47654.18721,0.87,15.3,83.0,1.7,82.0
76.0,54.2,0.1,51386.37665,0.864,15.1,83.0,1.7,84.0
8.0,53.7,0.1,46586.6525,0.86,15.2,85.0,1.7,81.0
81.0,53.2,0.1,443.99361,0.854,15.0,83.0,1.7,79.8
85.0,52.7,0.1,38242.4252,0.848,14.9,86.0,1.7,79.4
86.0,52.2,0.1,36693.4262,0.841,14.7,83.0,1.7,79.3
88.0,51.7,0.1,3212.9355,0.837,14.7,84.0,1.7,78.8
9.0,51.2,0.1,26351.37568,0.847,16.1,83.0,1.7,78.7
92.0,5.6,0.1,24489.73553,0.837,15.5,84.0,1.7,78.6
96.0,5.1,0.1,24517.26745,0.833,15.4,81.0,1.7,78.1
118.0,52.5,0.1,55.31382,0.758,12.7,96.0,2.8,72.7
119.0,51.5,0.1,7891.299776,0.752,12.2,94.0,2.8,72.5
121.0,5.6,0.1,7875.756953,0.745,11.9,93.0,2.8,72.2
123.0,49.7,0.1,7496.335728,0.742,11.8,89.0,2.8,71.9
125.0,48.8,0.1,7189.691229,0.741,11.7,87.0,2.8,71.6
13.0,48.0,0.1,5842.85784,0.737,11.7,81.0,2.8,71.1
132.0,47.3,0.1,495.294791,0.728,11.6,81.0,2.8,78.0
141.0,46.6,0.1,5574.6382,0.719,11.6,81.0,2.8,73.0
14.0,45.9,0.1,3851.437869,0.708,11.6,79.0,2.8,73.0
154.0,45.3,0.1,2473.85776,0.682,10.7,78.0,2.9,69.2
162.0,44.7,0.1,1578.4239,0.675,11.2,75.0,2.9,68.4
154.0,44.2,0.1,145.2163,0.668,11.0,77.0,3.0,68.4
154.0,43.6,0.1,883.6439965,0.659,10.8,77.0,3.0,67.8
146.0,43.1,0.1,763.73858,0.651,10.6,76.0,3.1,67.8
151.0,42.6,0.1,73.6838434,0.642,10.4,77.0,3.1,67.5
16.0,42.1,0.1,655.974326,0.636,10.1,76.0,3.2,66.6
147.0,64.5,0.1,1764.97387,0.79,12.6,95.0,2.5,76.1
16.0,63.8,0.1,1764.97387,0.789,12.6,96.0,2.5,75.4
172.0,63.2,0.1,1764.97387,0.79,12.6,97.0,2.5,74.8
167.0,62.6,0.2,1764.97387,0.789,12.6,98.0,2.5,74.9
162.0,62.0,0.1,1764.97387,0.788,12.6,98.0,2.5,75.0
161.0,61.3,0.2,1764.97387,0.788,12.6,99.0,2.5,75.0
168.0,6.7,0.1,1764.97387,0.791,12.6,96.0,2.5,74.6
167.0,6.1,0.1,1764.97387,0.791,12.6,93.0,2.5,74.5
167.0,59.4,0.1,1764.97387,0.79,12.5,95.0,2.5,74.4
171.0,58.7,0.1,1764.97387,0.788,12.4,95.0,2.5,74.2
172.0,58.1,0.1,1764.97387,0.786,12.4,93.0,2.6,74.1
174.0,57.4,0.1,1764.97387,0.784,12.3,93.0,2.6,73.8
189.0,56.7,0.1,1764.97387,0.783,12.2,92.0,2.6,73.2
19.0,56.0,0.1,1764.97387,0.781,12.1,94.0,2.6,73.1
189.0,55.2,0.2,1764.97387,0.779,12.1,99.0,2.7,72.9
192.0,54.4,0.1,1764.97387,0.0,12.0,99.0,2.7,72.6
69.0,63.6,0.1,22688.87824,0.823,14.5,98.0,6.2,76.9
7.0,62.9,0.1,24983.3792,0.82,14.5,98.0,6.1,76.8
7.0,62.2,0.1,251.18329,0.815,14.5,99.0,6.1,76.7
71.0,61.5,0.1,23649.36661,0.812,14.5,99.0,6.1,76.5
76.0,6.8,0.1,2281.1242,0.812,14.4,99.0,6.1,76.1
73.0,6.1,0.1,2722.1389,0.81,14.4,99.0,6.0,76.1
74.0,59.3,0.1,19356.67236,0.814,14.4,98.0,6.0,76.0
76.0,58.5,0.1,2367.56535,0.815,14.4,97.0,6.0,75.8
77.0,57.6,0.1,2977.1153,0.813,14.4,97.0,6.1,75.6
79.0,56.8,0.1,1937.99549,0.81,14.2,98.0,6.1,75.5
81.0,56.1,0.1,17959.17854,0.806,14.0,98.0,6.1,75.3
83.0,55.6,0.1,15846.47641,0.803,13.9,98.0,6.1,75.2
85.0,55.2,0.1,14221.99259,0.798,13.7,97.0,6.1,75.0
87.0,55.0,0.1,1312.33457,0.796,13.5,98.0,6.2,74.9
9.0,54.8,0.1,12868.211,0.794,13.3,99.0,6.2,74.7
92.0,54.5,0.1,13636.34668,0.786,13.2,97.0,6.2,74.5
129.0,18.3,0.1,121.15812,0.575,10.2,97.0,17.9,71.8
132.0,17.7,0.1,184.56543,0.57,10.0,97.0,18.1,71.4
135.0,17.0,0.1,951.8894535,0.565,10.0,96.0,18.3,71.0
137.0,16.4,0.1,856.342857,0.557,9.9,94.0,18.5,77.0
14.0,15.8,0.1,835.789341,0.545,9.4,96.0,18.7,73.0
142.0,15.2,0.1,757.6717572,0.535,8.9,94.0,18.9,69.9
144.0,14.6,0.1,681.125368,0.523,8.4,97.0,19.1,69.5
147.0,14.0,0.1,615.7775411,0.52,8.6,96.0,19.3,69.1
151.0,13.5,0.1,541.651484,0.513,8.6,94.0,19.5,68.6
152.0,13.0,0.1,494.51466,0.506,8.4,94.0,19.7,68.2
155.0,12.5,0.1,484.155471,0.499,8.2,93.0,19.9,67.8
158.0,12.0,0.1,46.7579167,0.491,8.1,99.0,2.1,67.3
161.0,11.6,0.1,432.7388972,0.484,7.9,87.0,2.3,66.8
164.0,11.2,0.1,4.6135745,0.476,7.7,83.0,2.5,66.3
168.0,1.8,0.1,42.5981152,0.468,7.5,85.0,2.7,65.8
173.0,1.4,0.1,45.63371,0.459,7.3,82.0,2.9,65.3
98.0,54.5,0.1,15557.8381,0.794,15.3,97.0,3.8,75.5
1.0,53.7,0.1,15359.66971,0.793,15.3,94.0,3.8,75.4
11.0,53.0,0.1,15472.7814,0.792,15.3,91.0,3.8,75.2
12.0,52.2,0.1,15384.8749,0.785,15.3,87.0,3.8,75.1
14.0,51.4,0.1,15534.1574,0.78,15.5,91.0,3.8,74.9
16.0,5.7,0.1,1595.91232,0.781,15.8,86.0,3.8,74.7
19.0,49.9,0.1,16523.32388,0.779,15.5,93.0,3.8,74.6
111.0,49.2,0.1,1657.3228,0.775,15.3,85.0,3.9,74.4
113.0,48.4,0.1,16462.48556,0.771,15.0,93.0,3.9,74.2
115.0,47.7,0.1,15646.5591,0.766,14.8,84.0,4.0,74.1
117.0,46.9,0.1,14223.86576,0.761,14.6,92.0,4.0,73.9
119.0,46.2,0.2,12868.8639,0.757,14.4,93.0,4.1,73.8
121.0,45.4,0.4,1228.5447,0.753,14.2,89.0,4.1,73.7
123.0,44.6,0.8,11675.39395,0.749,14.0,87.0,4.2,73.5
125.0,43.8,0.7,11513.87189,0.75,14.0,84.0,4.2,73.4
127.0,43.0,0.9,11568.1111,0.741,14.0,93.0,4.3,73.3
196.0,62.3,0.1,5949.11677,0.798,15.6,99.0,1.9,72.3
199.0,61.7,0.1,8318.429294,0.796,15.7,97.0,1.9,72.0
23.0,61.1,0.1,7978.825443,0.796,15.7,98.0,2.0,71.7
194.0,6.5,0.1,694.243915,0.793,15.6,98.0,2.0,71.9
232.0,59.9,0.1,6519.71753,0.787,15.5,98.0,2.0,72.0
222.0,59.3,0.1,63.38877,0.78,15.5,98.0,2.0,73.0
226.0,58.7,0.1,5176.172649,0.771,15.4,96.0,2.1,70.0
224.0,58.2,0.1,6376.183153,0.755,15.1,97.0,2.1,70.0
226.0,57.7,0.1,4735.484827,0.739,14.9,95.0,2.2,69.8
243.0,57.2,0.1,3848.215966,0.723,14.6,99.0,2.2,68.9
252.0,56.7,0.1,3126.71767,0.713,14.4,99.0,2.3,68.1
247.0,56.2,0.1,2378.33927,0.703,14.1,99.0,2.4,68.2
253.0,55.8,0.1,1819.525644,0.695,13.9,5.0,2.5,67.7
262.0,55.3,0.1,1479.383142,0.687,13.6,99.0,2.5,67.2
254.0,54.9,0.1,1244.373185,0.681,13.3,99.0,2.6,67.7
247.0,54.4,0.1,1276.28834,0.675,13.1,99.0,2.7,68.0
74.0,63.7,0.1,4356.875,0.895,16.6,99.0,1.0,81.1
76.0,63.4,0.1,47439.39684,0.89,16.3,99.0,1.0,89.0
77.0,63.0,0.1,4651.38647,0.889,16.3,99.0,1.0,87.0
78.0,62.6,0.1,4474.5717,0.886,16.2,99.0,0.9,83.0
8.0,62.3,0.1,4772.77415,0.884,16.1,98.0,0.9,83.0
81.0,61.9,0.1,4438.23741,0.878,15.9,98.0,0.9,80.0
85.0,61.6,0.1,4488.5615,0.876,15.8,98.0,0.9,79.8
87.0,61.3,0.1,48424.58927,0.874,15.8,99.0,0.8,79.5
86.0,6.9,0.1,4443.83131,0.871,15.8,98.0,0.8,79.5
85.0,6.6,0.1,38852.3613,0.865,15.7,98.0,0.8,79.4
89.0,6.2,0.1,36967.28292,0.861,15.7,97.0,0.8,78.9
91.0,59.8,0.1,35589.71295,0.88,18.8,95.0,0.8,78.8
95.0,59.4,0.1,3743.95693,0.878,18.6,95.0,0.8,78.3
99.0,59.0,0.1,2552.3328,0.875,18.8,95.0,0.8,78.0
1.0,58.5,0.1,23121.56635,0.873,18.2,95.0,0.8,78.0
11.0,58.1,0.1,2327.4591,0.869,18.0,95.0,0.8,77.6
175.0,5.9,0.2,4849.997495,0.706,12.8,94.0,3.5,71.0
177.0,5.1,0.2,4852.223666,0.705,12.8,95.0,3.4,70.0
18.0,49.3,0.2,4688.538443,0.706,12.9,95.0,3.4,69.8
189.0,48.5,0.1,4673.63848,0.702,12.5,98.0,3.5,69.4
188.0,47.8,0.5,4516.24675,0.7,12.4,95.0,3.5,69.4
186.0,47.0,0.2,4344.15177,0.7,12.4,96.0,3.5,69.5
184.0,46.3,0.3,4258.788611,0.7,12.7,97.0,3.5,69.5
181.0,45.7,0.1,447.22796,0.699,12.8,94.0,3.5,69.6
181.0,45.0,0.6,4324.876427,0.7,12.8,96.0,3.5,69.6
184.0,44.4,0.6,4187.3783,0.692,12.3,98.0,3.6,69.4
191.0,43.8,0.8,3933.332215,0.695,12.8,96.0,3.6,69.0
197.0,43.2,0.8,3831.53819,0.691,12.5,97.0,3.6,68.7
21.0,42.6,1.5,3679.99523,0.684,12.2,96.0,3.6,68.4
199.0,42.0,0.1,3556.561825,0.678,11.9,89.0,3.7,68.5
21.0,41.4,0.4,3419.275719,0.677,11.8,96.0,3.7,68.2
196.0,4.8,0.3,3364.423711,0.668,11.7,91.0,3.8,68.3
249.0,25.7,1.0,783.94791,0.481,10.7,82.0,6.9,60.0
252.0,25.2,1.1,943.686575,0.475,10.7,78.0,7.1,59.7
251.0,24.6,1.2,915.2674586,0.466,10.3,77.0,7.2,59.5
251.0,24.1,1.3,837.9551,0.458,10.0,8.0,7.4,59.3
251.0,23.5,1.4,825.9427854,0.454,9.8,75.0,7.6,59.1
254.0,23.0,1.4,757.695974,0.451,9.5,76.0,7.8,58.7
259.0,22.5,1.6,793.45243,0.448,9.3,79.0,7.9,58.4
278.0,22.0,1.8,82.1513498,0.444,9.1,75.0,8.1,57.6
283.0,21.5,2.0,76.535419,0.438,8.9,82.0,8.3,57.1
284.0,21.0,2.0,625.8392,0.434,8.7,74.0,8.5,56.8
285.0,2.5,2.1,61.799977,0.43,8.5,7.0,8.7,56.5
285.0,2.1,2.1,583.493514,0.423,8.1,72.0,8.9,56.1
285.0,19.7,2.1,519.2922847,0.416,7.7,73.0,9.1,55.8
283.0,19.2,2.1,418.6985763,0.407,7.3,75.0,9.3,55.6
281.0,18.8,2.1,378.73654,0.395,6.6,76.0,9.5,55.5
279.0,18.4,2.0,374.1923942,0.389,6.4,78.0,9.7,55.4
211.0,24.5,0.5,2613.645177,0.604,12.5,99.0,15.4,69.8
216.0,23.6,0.5,2522.7968,0.596,12.5,99.0,15.7,69.4
219.0,22.7,0.6,235.882889,0.589,12.6,97.0,15.9,69.1
223.0,21.9,0.6,2422.816,0.581,12.3,97.0,16.1,68.7
225.0,21.1,0.5,2458.45976,0.572,11.9,95.0,16.3,68.3
228.0,2.3,0.5,2178.921383,0.0,11.4,91.0,16.6,67.9
232.0,19.5,0.4,177.234497,0.0,10.9,93.0,16.8,67.4
234.0,18.8,0.4,1795.18137,0.0,10.5,96.0,17.1,67.0
238.0,18.0,0.3,1741.142552,0.0,10.1,95.0,17.3,66.5
245.0,17.4,0.3,1335.45696,0.0,9.6,95.0,17.5,65.8
254.0,16.7,0.3,1247.61392,0.0,9.2,95.0,17.8,65.0
263.0,16.1,0.3,197.45788,0.0,8.8,89.0,18.0,64.2
273.0,15.5,0.2,997.7417141,0.0,8.4,95.0,18.3,63.3
282.0,14.9,0.1,885.6382245,0.0,8.0,86.0,18.6,62.5
29.0,14.4,0.1,87.9387673,0.0,7.6,88.0,18.9,61.7
312.0,13.9,0.1,765.8632358,0.0,7.3,92.0,19.2,62.0
186.0,52.6,0.1,1764.97387,0.671,13.8,99.0,1.2,77.0
189.0,51.9,0.1,1764.97387,0.666,13.8,98.0,1.2,74.0
192.0,51.2,0.1,1764.97387,0.661,13.8,94.0,1.2,71.0
194.0,5.6,0.1,1764.97387,0.655,13.8,93.0,1.2,69.8
198.0,49.9,0.2,1764.97387,0.649,13.8,95.0,1.2,69.3
22.0,49.3,0.2,1764.97387,0.643,13.8,91.0,1.2,68.7
27.0,48.6,0.2,1764.97387,0.636,13.8,93.0,1.2,68.0
211.0,48.0,0.2,1764.97387,0.632,14.0,88.0,1.3,67.4
216.0,47.3,0.2,1764.97387,0.626,14.1,84.0,1.3,66.8
219.0,46.7,0.2,1764.97387,0.625,14.3,83.0,1.3,66.2
222.0,46.0,0.2,1764.97387,0.622,14.4,85.0,1.3,65.7
226.0,45.4,0.2,1764.97387,0.62,14.6,84.0,1.4,65.1
23.0,44.7,0.2,1764.97387,0.617,14.4,88.0,1.4,64.5
234.0,44.0,0.1,1764.97387,0.61,14.0,77.0,1.4,63.9
238.0,43.3,0.1,1764.97387,0.607,13.7,71.0,1.5,63.3
243.0,42.6,0.1,1764.97387,0.6,13.3,75.0,1.5,62.6
88.0,55.8,0.1,4574.9787,0.747,14.2,82.0,2.3,77.4
89.0,55.3,0.1,5193.94932,0.742,14.2,86.0,2.4,77.2
9.0,54.7,0.1,535.86555,0.735,14.2,89.0,2.4,77.0
92.0,54.2,0.1,4716.673325,0.728,13.9,92.0,2.5,76.8
92.0,53.7,0.1,55.156834,0.711,13.4,88.0,2.6,76.9
94.0,53.1,0.1,4611.47298,0.717,13.3,89.0,2.6,76.4
97.0,52.6,0.1,4697.89732,0.716,13.3,9.0,2.7,76.1
98.0,52.1,0.1,575.31664,0.71,13.1,91.0,2.8,76.0
16.0,51.5,0.1,418.292176,0.703,12.9,95.0,2.8,75.4
1.0,51.0,0.1,344.321698,0.697,12.7,87.0,2.9,75.7
12.0,5.5,0.1,2968.41186,0.0,12.5,93.0,2.9,75.0
99.0,49.9,0.1,265.642661,0.0,12.3,84.0,3.0,75.5
12.0,49.4,0.1,2214.732246,0.0,12.1,87.0,3.0,75.2
11.0,48.8,0.1,1761.537647,0.0,11.9,8.0,3.1,75.4
113.0,48.2,0.1,1524.41222,0.0,11.6,91.0,3.2,74.9
116.0,47.6,0.1,1461.7552,0.0,0.0,85.0,3.3,74.6
256.0,37.9,2.2,6532.651,0.698,12.6,95.0,6.4,65.7
268.0,37.3,2.3,7497.762376,0.697,12.6,95.0,6.7,65.1
286.0,36.8,2.8,77.625783,0.693,12.6,95.0,7.0,64.2
3.0,36.2,4.4,729.231453,0.687,12.5,95.0,7.3,63.4
325.0,35.7,5.5,7645.21469,0.678,12.4,95.0,7.7,62.2
349.0,35.2,6.2,6346.15624,0.669,12.3,95.0,8.0,61.1
393.0,34.7,9.0,5185.729845,0.661,12.2,96.0,8.4,59.2
427.0,34.2,12.7,5623.379566,0.646,12.1,96.0,8.8,57.5
436.0,33.7,13.4,5714.47937,0.63,12.1,96.0,9.2,56.9
491.0,33.2,14.4,5374.554867,0.61,11.9,96.0,9.6,54.8
566.0,32.7,20.6,5351.253732,0.593,11.9,96.0,1.0,51.7
652.0,32.2,28.4,4896.583835,0.58,11.8,96.0,1.5,48.1
693.0,31.6,31.9,4163.6596,0.567,11.8,96.0,1.9,46.4
699.0,31.1,34.6,355.618382,0.558,11.9,97.0,11.4,46.0
679.0,3.5,37.2,3128.97793,0.56,11.8,97.0,11.8,46.7
647.0,29.9,38.8,3349.68823,0.559,11.7,97.0,12.3,47.8
142.0,56.1,0.1,8757.2622,0.754,15.2,96.0,2.7,75.0
144.0,55.3,0.1,1226.61731,0.747,15.2,93.0,2.7,74.8
146.0,54.5,0.1,12216.9446,0.734,14.2,97.0,2.8,74.7
148.0,53.6,0.1,12291.46685,0.73,14.2,95.0,2.8,74.5
152.0,52.8,0.1,13167.47289,0.724,14.0,99.0,2.9,74.1
154.0,52.0,0.1,11224.1548,0.716,13.8,99.0,2.9,73.8
157.0,51.1,0.1,8553.3847,0.714,13.8,99.0,3.0,73.6
158.0,5.3,0.1,8787.61375,0.704,13.3,99.0,3.0,73.4
159.0,49.4,0.1,7313.557962,0.7,13.5,99.0,3.1,73.3
161.0,48.6,0.1,586.145975,0.698,13.8,99.0,3.1,73.0
163.0,47.8,0.1,477.182746,0.694,13.8,99.0,3.2,72.7
17.0,46.9,0.1,3623.47667,0.695,14.0,99.0,3.2,72.0
172.0,46.1,0.1,359.587582,0.699,14.8,99.0,3.3,71.8
176.0,45.3,0.1,2819.649531,0.692,14.6,99.0,3.3,71.4
179.0,44.5,0.1,3146.95177,0.685,14.3,98.0,3.4,71.0
